iso3,tl2_id,OLD_SH,WORKAGE_SH,YOUTH_SH,POP_CH,POP_T,POP_DENS,NETNAT_RATE,BIRTH_RA,DEATH_RA,NETMOB_ALL,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_TOT,BUILT_S__T,BUILT_S_CH__T,AIR_TEMP2M,AIR_TEMP2M_DIFF_1981_2010,PRECIP_SUM,PRECIP_SUM_DIFF_1981_2010,EXT_PRECIP_DAYS,EXT_PRECIP_DAYS_1981_2010,SOIL_MOIST_L1_CH_1981_2018,CDD_T_22C,CDD_T_22C_CH,HDD_T_15C,HDD_T_15C_CH,UCTCI_GT32,UCTCI_GT38,UCTCI_GT46,UCTCI_GT32_DIFF_1981_2010,UCTCI_GT38_DIFF_1981_2010,UCTCI_GT46_DIFF_1981_2010,FIRE_TOTAL_AREA_SH,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_RP100_POP_SH,FOREST_CH,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,MEDIAN_DISP_INC_PC_CURR_PR,MEDIAN_DISP_INC_PC_REAL_PPP,POV_RATE_60,UNEM_RA_15_64,UNEM_RA_15_MAX
MEX,ME17,9.61,66.58,23.77,,1971520.0,403.01,3.325379421925321,14.541,7.953,,,,,93.16,81.03780822545038,40.90835926310697,21.348440569634676,0.4345349103793488,1.4540996068067138,0.20974986013268251,14.94538170823885,3.3114840010078126,4.895697703799207,453.9532651775961,51.390125114499355,279.3377070606161,35.56035344759597,188.42821497881945,29.497685860662294,0.0,9.585262347996224,5.4113830308462525,0.0,6.49463830374574,0.059809900361049995,0.0,2.066376648891367,-3.822413307731582,-28.409323031200984,-18.061331011996387,-16.637698072566643,,,,,
MEX,ME18,8.88,64.24,26.78,,1235460.0,44.34,4.4578465225549095,15.093399999999999,6.2258,,,,,98.25,68.76785591069041,44.065023377012146,22.206749451386578,0.7220592735548166,1.22137789652574,-0.0006215391313199786,12.264303304054675,-0.1558326858667957,-2.4766928086043194,522.9808543348532,90.76136386825625,22.23305788170004,-20.64117215075817,269.30529672165585,15.191695089481652,0.0158786377868349,34.55905763140242,5.557805298768969,0.0158786377868349,8.10228768531443,29.475883948190152,0.06868405164626,-4.473126324978175,-11.144693432340722,-24.974064576951047,-0.33214006950353,-4.326918885595491,,,,,
MEX,ME19,7.55,68.25,23.88,,5784440.0,90.1,4.908719588334618,15.6418,6.1902,,,,,99.91,71.32947543232697,65.6792999870518,21.138716452621516,0.6918430029410686,0.5677093076887827,-0.09957324661215387,3.8957132432417607,-0.9237802614228479,-8.811249991756897,908.9088685999408,90.2091795823205,233.45458210819834,-36.65802867089348,164.59874880431002,20.627815307394325,0.07474480184539638,26.05741854375316,5.86837125632417,0.016686127326767088,0.86198481610024,3.11103446452089,0.0,4.244500586944306,24.181597521080928,27.30405087702405,24.508499267244908,5.6011172928016615,,,,,
MEX,ME20,9.55,62.46,27.76,,4132150.0,44.27,5.185694940292995,17.5458,7.2664,,,,,91.54,95.29482111973616,68.23649705509405,20.773631188296086,0.47596935147328595,1.741750346825252,0.012033168831564143,19.611091040906366,1.207639511816165,-0.15993740018748204,550.0779650072415,73.3632979528009,77.14812672008223,-23.53161051156831,161.80015072799281,22.42724023074755,0.03440855585186911,11.500800855682872,4.539427428246855,-0.04092663620886765,5.06309527237864,6.59687048898131,0.0484718155779,-1.0128345189348782,-45.897085817505925,-34.30171537724919,-36.59755770653541,-18.308996902234263,,,,,
MEX,ME21,7.84,65.03,27.05,,6583280.0,192.21,6.0801990563512565,19.234199999999998,7.298399999999999,,,,,92.32,84.27155484830004,53.3696628433451,18.03357074027585,0.5216606748437613,1.222714372652866,0.02164772248236043,9.714306627485172,0.24512545613072073,1.4076065756815304,299.9164662917782,31.49421004058978,316.828654996595,-66.22910973741908,46.11111791750307,3.540709360426638,0.0,2.634346023340227,0.7005811064571911,-0.0003856826329945067,1.6529455703963298,0.32022565979592,0.0,1.650587488421947,-7.643425985670166,-0.4831899199698111,0.148672903175394,5.846363150919001,,,,,
MEX,ME22,6.73,68.34,24.63,,2368470.0,203.16,5.664881370719531,16.5826,5.799200000000001,,,,,95.48,103.41728339480143,74.61219971786998,17.5600724849173,0.8187779264265493,0.8104397289695843,-0.05489447902241089,5.5573594223736436,0.11771429166796939,-4.099563048649446,55.38654405666212,23.708950805093302,171.52120392326276,-71.06465187088045,46.55236318266789,0.13784293399323683,1.2675955439308102e-05,19.28602791292652,0.021453358057697606,1.2675955439308102e-05,0.56711535284487,0.41395977424035996,0.0,4.059177516415793,10.46621537420571,7.254932516912221,41.10872066665266,5.940407420129179,,,,,
MEX,ME23,4.4,69.85,24.62,,1857990.0,43.68,5.799828194176624,15.8202,4.8118,,,,,101.69,61.46748183005015,88.09905313525938,26.262932408917788,0.6750768272207359,1.0539855829858702,-0.07487171957702522,6.58437974134817,1.1101759868024952,-4.147280719851809,1572.0187165941618,230.7620467927226,0.0,-0.012650703993420359,163.2876542888319,16.749214158969444,0.0,16.958499370314417,2.1195931186573644,-0.004312252612819373,2.61209555437208,2.06974677690228,1.2132698191284799,-1.0625206351111935,-6.165642839277702,-22.200729675391948,18.959484202566635,-7.066652422972625,,,,,
MEX,ME24,9.0,65.19,25.74,,2822260.0,46.14,4.695485823601633,16.3026,6.9928,,,,,94.66,95.57572420965215,72.60928633632058,19.26718194804944,0.9781005951387585,0.6256210751526607,-0.10907446772814958,3.769859806176572,-1.1725878009890238,-8.626203022392186,281.0676782964871,91.36312337005472,172.834967399547,-55.23510315776356,141.72421774673683,32.29315432207775,0.5331217533592577,31.525857538697313,13.673677847531488,0.370974116858125,1.3674459443627,5.06435015629046,0.0,0.6852625892121036,-13.435442549110302,-9.064900418734265,-12.43771744744025,-10.639011669012358,,,,,
MEX,ME25,8.92,66.34,24.68,,3026940.0,52.8,4.633864260907958,15.549000000000001,6.335,,,,,97.56,78.74043566937077,28.446068429088882,23.51423233554224,0.5958611824487378,0.7061807845988551,-0.13442308247143447,6.209447223124389,-2.4244869546389487,-5.502330224437246,967.0091096824492,97.94917660309272,31.65772505768063,-19.99426812831068,263.91527623854364,91.66112803362117,0.08325679708688719,15.078146700251557,7.872321989389664,-0.06252332819847924,4.3905118355294395,32.36540819102604,0.6409279019345,-0.15781396733779807,-2.3270150120614783,0.8957677614066046,-5.62018637346903,-10.629778885969944,,,,,
MEX,ME26,8.04,67.29,24.58,,2944840.0,16.4,3.599795471825912,14.211000000000002,7.0586,,,,,99.97,87.28362245449468,36.00062688628442,21.920172688476857,0.7161929203211294,0.3644294945871346,-0.03182489716978408,2.89408488367651,-0.3453144618048916,-6.288459232247423,1075.1942195863185,112.23187894343407,231.50693558304914,-71.92359459721028,216.9241625821065,115.95477828434227,14.30282996576069,4.027696956477541,4.428851341110422,3.3270255634668233,1.58391829057694,18.57723151621188,2.00111429265143,-1.5421810322722436,-3.7670807208397377,8.586671236975612,-3.2650745711907057,-9.166041531586325,,,,,
